Subject,Start Date,Start Time,End Time
Period 2,11/29/2022,8:38 AM,9:21 AM
Period 3,11/29/2022,9:26 AM,10:09 AM
Period 4,11/29/2022,10:14 AM,10:57 AM
Lunch,11/29/2022,10:57 AM,11:47 AM
Period 5,11/29/2022,11:52 AM,12:54 PM
Period 6,11/29/2022,12:59 PM,1:42 PM
Period 7,11/29/2022,1:47 PM,2:30 PM
Period 1,11/30/2022,7:45 AM,8:30 AM
Period 2,11/30/2022,8:35 AM,9:17 AM
Period 3,11/30/2022,9:52 AM,10:34 AM
Period 4,11/30/2022,10:39 AM,11:21 AM
Lunch,11/30/2022,11:21 AM,12:09 PM
Period 5,11/30/2022,12:14 PM,12:56 PM
Period 6,11/30/2022,1:01 PM,1:43 PM
Period 7,11/30/2022,1:48 PM,2:30 PM
Advisory,11/30/2022,9:22 AM,9:47 AM
Period 1,12/1/2022,7:45 AM,8:33 AM
Period 2,12/1/2022,8:38 AM,9:21 AM
Period 3,12/1/2022,9:26 AM,10:09 AM
Period 4,12/1/2022,10:14 AM,10:57 AM
Lunch,12/1/2022,10:57 AM,11:47 AM
Period 5,12/1/2022,11:52 AM,12:35 PM
Period 6,12/1/2022,12:40 PM,1:42 PM
Period 7,12/1/2022,1:47 PM,2:30 PM
Period 1,12/2/2022,7:45 AM,8:33 AM
Period 2,12/2/2022,8:38 AM,9:21 AM
Period 3,12/2/2022,9:26 AM,10:09 AM
Period 4,12/2/2022,10:14 AM,10:57 AM
Lunch,12/2/2022,10:57 AM,11:47 AM
Period 5,12/2/2022,11:52 AM,12:35 PM
Period 6,12/2/2022,12:40 PM,1:23 PM
Period 7,12/2/2022,1:28 PM,2:30 PM
Period 1,12/5/2022,7:45 AM,8:52 AM
Period 2,12/5/2022,8:57 AM,9:40 AM
Period 3,12/5/2022,9:45 AM,10:28 AM
Period 4,12/5/2022,10:33 AM,11:16 AM
Lunch,12/5/2022,11:16 AM,12:06 PM
Period 5,12/5/2022,12:11 PM,12:54 PM
Period 6,12/5/2022,12:59 PM,1:42 PM
Period 7,12/5/2022,1:47 PM,2:30 PM
Period 1,12/6/2022,7:45 AM,8:33 AM
Period 2,12/6/2022,8:38 AM,9:40 AM
Period 3,12/6/2022,9:45 AM,10:28 AM
Period 4,12/6/2022,10:33 AM,11:16 AM
Lunch,12/6/2022,11:16 AM,12:06 PM
Period 5,12/6/2022,12:11 PM,12:54 PM
Period 6,12/6/2022,12:59 PM,1:42 PM
Period 7,12/6/2022,1:47 PM,2:30 PM
Period 1,12/8/2022,7:45 AM,8:33 AM
Period 2,12/8/2022,8:38 AM,9:21 AM
Period 3,12/8/2022,9:26 AM,10:28 AM
Period 4,12/8/2022,10:33 AM,11:16 AM
Lunch,12/8/2022,11:16 AM,12:06 PM
Period 5,12/8/2022,12:11 PM,12:54 PM
Period 6,12/8/2022,12:59 PM,1:42 PM
Period 7,12/8/2022,1:47 PM,2:30 PM
Period 1,12/9/2022,7:45 AM,8:33 AM
Period 2,12/9/2022,8:38 AM,9:21 AM
Period 3,12/9/2022,9:26 AM,10:09 AM
Period 4,12/9/2022,10:14 AM,11:16 AM
Lunch,12/9/2022,11:16 AM,12:06 PM
Period 5,12/9/2022,12:11 PM,12:54 PM
Period 6,12/9/2022,12:59 PM,1:42 PM
Period 7,12/9/2022,1:47 PM,2:30 PM
Period 1,12/12/2022,7:45 AM,8:33 AM
Period 2,12/12/2022,8:38 AM,9:21 AM
Period 3,12/12/2022,9:26 AM,10:09 AM
Period 4,12/12/2022,10:14 AM,10:57 AM
